"user_id","password","pwned"
"anyasharma@gmail.com","MyDogLeo","False"
"asharma","MyD0gL3o!2024Bank","False"
"kenji.tanaka@yahoo.com","SoccerFanatics","False"
"ktanaka","S0cc3rF@n@t1cs#R1sk","False"
"maria.rodriguez@outlook.com","MyKidsAreBest","False"
"mrodriguez","M@KidsRBest!B@nkMgr","False"
"davidchen@hotmail.com","TechGuru78","False"
"dchen","T3chGvru78$IT$upport","False"
"fatima.zahra@gmail.com","DesertRose","True"
"fzahra","D3sertR0se!C0mpli@nce","False"
"liam.oconnell@gmail.com","GreenFields","True"
"loconnell","Gr33nF1elds!L0an0ffice","False"
"isabella.rossi@yahoo.com","PastaLover","True"
"irossi","P@st@L0ver!Inv3stM3nt","False"
"jamal.ali@outlook.com","NileRiver","True"
"jali","N1leR1ver$Cvsr$2024","False"
"sophie.dubois@hotmail.com","Parisienne","True"
"sdubois","P@r1s1enn3!T3ll3rB@nk","False"
"mark.johnson@gmail.com","FootballFan","True"
"mjohnson","F00tb@llF@n!Aud1t2K24","False"
"lena.muller@yahoo.com","SkiAlpine","False"
"lmuller","Sk1@lp1ne!W3@lthM@n@ger","False"
"carlos.silva@outlook.com","SambaKing","False"
"csilva","S@mb@K1ng!M0rtg@geAdv","False"
"chika.okoro@gmail.com","AfricanQueen","True"
"cokoro","@fr1c@nQu33n!Fr@udInv","False"
"oliver.smith@hotmail.com","BigDataNerd","False"
"osmith","B1gD@t@Nerd!D@t@Sc13ntist","False"
"yuki.sato@yahoo.com","CherryBlossom","True"
"ysato","Ch3rryBl0ss0m!HRB@nk24","False"
"priya.singh@gmail.com","BollywoodDreams","False"
"psingh","B0llyw00dDr3@ms!M@rk3tB@nk","False"
"javier.garcia@outlook.com","SiestaTime","False"
"jgarcia","S13st@T1m3!R3g@ff@irs","False"
"minjun.kim@hotmail.com","KPopLover","False"
"mjkim","KP0pL0v3r!Tr3@suryAn@lyst","False"
"elena.petrova@gmail.com","WinterIsComing","True"
"epetrova","W1nt3r1sC0m1ng!0psM@n@g3r","False"
"daniel.lee@yahoo.com","ExcelMaster","False"
"dlee","3xc3lM@st3r!Acc0unt!ng24","False"
"samira.ahmed@outlook.com","SecureFuture","False"
"sahmed","S3cur3Fvtur3!Cyb3rS3c@n@lyst","False"
"marco.bianchi@hotmail.com","StockMarket","True"
"mbianchi","St0ckM@rk3t!P0rtf0l1oM@n","False"
"chen.wei@gmail.com","DragonSpirit","True"
"cwei","Dr@g0nSp1r1t!Cr3d1tAn@lyst","False"
"sarah.miller@yahoo.com","MapleLeafs","True"
"smiller","M@pl3L3@fs!Pr0ductM@n@g3r","False"
"thabo.ndlovu@outlook.com","LionKing","True"
"tndlovu","L10nK1ng!L3g@lC0uns3lB@nk","False"
"dmillertech@outlook.com","pcgamer99","True"
"DMillerIT","PCGamer99$Support!HQ","False"
"sofia.rod@yahoo.com","mydogmax","True"
"SRodMA","MyDogMax@Clinic#23","False"
"tanaka.kenji@protonmail.com","sushifanatic","False"
"KTanakaLab","SushiFanatic!Lab@2024","False"
"fzahra.rx@hotmail.com","morocco1988","True"
"FZahraPharm","Morocco1988#RxCare!","False"
"liam.o.connell@gmail.com","gaelicpride","True"
"LOConnellAdmin","GaelicPride!HospMgr@","False"
"chloe.dubois@outlook.com","parisjetaime","True"
"CDuboisRad","ParisJetaime!Xray$24","False"
"mateo.garcia.md@gmail.com","scalpelpro","False"
"MGarciaSurg","ScalpelPro!Surgery#MD","False"
"isabella.pt@yahoo.com","runnergirl","True"
"IRossiPT","RunnerGirl!Therapy$2024","False"
"ethan.kim.coder@gmail.com","codingwiz","False"
"EKimCode","CodingWiz!Medical#Billing","False"
"olivia.counsel@protonmail.com","mindfulmoments","True"
"OChenCounsel","MindfulMoments!Therapy@","False"
"noah.dietitian@outlook.com","healthyfoodie","True"
"NSchmidtDiet","HealthyFoodie!Nutri#24","False"
"mia.singh.emt@gmail.com","firstresponder","True"
"MSinghEMT","FirstResponder!Emerg@911","False"
"lucas.him@yahoo.com","datasecure","True"
"LWongHIM","DataSecure!InfoMgmt#","False"
"ava.bioeng@gmail.com","innovatordev","False"
"ADaviesBio","InnovatorDev!BioMed$Eng","False"
"samira.patcoord@hotmail.com","patientfirst","True"
"SKhanCoord","PatientFirst!Care@2024","False"
"leo.billing@gmail.com","billingsuccess","False"
"LMullerBill","BillingSuccess!Med@Acc","False"
"elena.research@outlook.com","sciencelover","True"
"EPetrRes","ScienceLover!Lab#Res24","False"
"hiroshi.ph@protonmail.com","communityhealth","True"
"HSatoPH","CommunityHealth!Public@","False"
"grace.trials@gmail.com","trialrunner","True"
"GLeeTrial","TrialRunner!Clin#2024","False"
"omar.anesthes@yahoo.com","easysleep","True"
"OHassanAnes","EasySleep!Anes@MD#","False"
"priya.sono@gmail.com","ultrasoundpro","False"
"PPatelSono","UltrasoundPro!Imaging@","False"
"anton.dental@outlook.com","healthyteeth","True"
"AVolkovDent","HealthyTeeth!Hygiene#","False"
"mei.ling.eye@protonmail.com","cleareyesight","False"
"MLingOpto","ClearEyeSight!Vision@2024","False"
"ben.carter.md@gmail.com","myfamilyfirst","True"
"BCarterGP","MyFamilyFirst!Doctor#Care","False"
"h.tanaka.rad@outlook.com","SakuraBlossom","True"
"htanaka1","S@kuraBlossom!2024","False"
"liamg_tech@gmail.com","TechGuy","True"
"lgallagher","TechGuy!Support#24","False"
"rajeshk_coder@yahoo.com","CricketFan","True"
"rkumar","CricketFan@Code$2024","False"
"chloe.kim.diet@gmail.com","HealthyPlate","False"
"ckim","H3althyPlat3!2024","False"
"mateo.garcia.lab@outlook.com","ScienceGeek","True"
"mgarcia","Sc1enceG3ek!Lab#","False"
"olga.petrova.cardio@gmail.com","MyHeartBeat","False"
"opetrova","MyHeartBeat$Secure!2024","False"
"kwame.nkrumah.er@yahoo.com","AccraGold","False"
"knkrumah","AccraGold!ER#2024","False"
"jmorales.rt@outlook.com","MountainAir","True"
"jmorales","MountainAir$Resp!2024","False"
"lena.schmidt.blood@gmail.com","RedDrop","False"
"lschmidt","R3dDr0p!Phleb#24","False"
"daniel.wilson.emt@yahoo.com","FirstAidHero","False"
"dwilson","F1rstA1dH3r0!EMT#","False"
"yuki.nakamura.eye@outlook.com","ClearVision","True"
"ynakamura","Cl3arV1s1on!Eye#2024","False"
"carlos.gomez.ortho@gmail.com","BoneFixer","False"
"cgomez","BoneFixer!Surg#2024","False"
"zoe.miller.anes@hotmail.com","SweetDreams","True"
"zmiller","Sw33tDr3ams!Anes#","False"
"ahmed.khan.neuro@gmail.com","BrainPower","True"
"akhan","Br@inP0wer!Neuro#","False"
"eleanor.vance.onco@outlook.com","HopeGiver","False"
"evance","H0peG1ver!Onco#2024","False"
"paulo.costa.psy@gmail.com","MindExplorer","False"
"pcosta","M!ndExpl0rer!Psy#","False"
"nia.davies.midwife@yahoo.com","NewBeginnings","True"
"ndavies","N3wB3g!nn!ngs!M!d#","False"
"hiroshi.t@email.jp","japanfan","True"
"htanaka","J@p@nf@n_IT_Secure!","False"
"sofia.m@web.de","coffeelover","True"
"smuller","C0ff3eL0v3r_MORTGAGE!","False"
"isabelle.d@email.fr","parisjetaime","True"
"idubois","P@r1sJ3t@1m3_CSR_24!","False"
"mateo.s@web.br","soccerstar","True"
"msilva","S0cc3rSt@r_D@t@_Sci!","False"
"priya.s@mail.in","indiangirl","True"
"psharma","1nd1@nG1rl_W3@lth_MGR!","False"
"lars.a@web.dk","vikingheart","True"
"landersen","V1k1ngH3@rt_OpsM@n_!","False"
"elena.p@email.ro","draculalover","True"
"epopescu","Dr@cul@L0v3r_FR@UD_!","False"
"alessandro.r@mail.it","pizzalover","True"
"arossi","P1zz@L0v3r_M@rk3t_24!","False"
"chloe.n@web.au","codingisfun","True"
"cnguyen","C0d1ng!sFun_F1nT3ch!","False"
"santiago.p@email.ar","tangoargentino","True"
"sperez","T@ng0@rg3nt1n0_HR_24!","False"
"john.smith@mail.com","footballfan","True"
"jsmith","F00tb@llF@n_Tr3@sury!","False"
"nina.s@web.fj","islandlife","True"
"nsingh","1sl@ndL1f3_P0rtf0l10!","False"
"kenji.s@email.jp","sushilover","True"
"ksato","Su$h1L0v3r_B1zD3v_!","False"
"sarah.j@mail.co","securemepls","False"
"sjohnson","S3cur3M3Pls_Cyb3rS3c!","False"
"wei.li@web.cn","dragonspirit","True"
"wli","Dr@g0nSp1r1t_Aud1t_M!","False"
"ben.c@mail.au","aussieboy","True"
"bcarter","Au$$13B0y_P@ym3nts!","False"
"gabriela.n@web.pl","polandproud","False"
"gnowak","P0l@ndPr0ud_Acc0unt@nt!","False"
"chloe.dubois@gmail.com","parisjetaime","True"
"cdubois","ParisJeTaime!PMGR_2024","False"
"omar.hassan@example.com","desertfox","True"
"ohassan","DesertFox!DevOps#Secure23","False"
"lena.petrova@mail.ru","balletdancer","True"
"lpetrova","BalletDancer!FED_2024#","False"
"ricardo.s@gmail.com","sambafootball","False"
"rsilva","SambaFootball!MobileDev#24","False"
"emily.w@example.com","bookworm","True"
"ewhite","BookWorm!TechWrite@2024","False"
"jaehyun.k@naver.com","kpopfanatic","True"
"jkim","KpopFanatic!GameDev#2023","False"
"olivia.g@gmail.com","coffeelover","True"
"ogarcia","CoffeeLover!UIUX_Res@24","False"
