"user_id","password"
"anyasharma@gmail.com","MyDogLeo"
"asharma","MyD0gL3o!2024Bank"
"kenji.tanaka@yahoo.com","SoccerFanatics"
"ktanaka","S0cc3rF@n@t1cs#R1sk"
"maria.rodriguez@outlook.com","MyKidsAreBest"
"mrodriguez","M@KidsRBest!B@nkMgr"
"davidchen@hotmail.com","TechGuru78"
"dchen","T3chGvru78$IT$upport"
"fatima.zahra@gmail.com","DesertRose"
"fzahra","D3sertR0se!C0mpli@nce"
"liam.oconnell@gmail.com","GreenFields"
"loconnell","Gr33nF1elds!L0an0ffice"
"isabella.rossi@yahoo.com","PastaLover"
"irossi","P@st@L0ver!Inv3stM3nt"
"jamal.ali@outlook.com","NileRiver"
"jali","N1leR1ver$Cvsr$2024"
"sophie.dubois@hotmail.com","Parisienne"
"sdubois","P@r1s1enn3!T3ll3rB@nk"
"mark.johnson@gmail.com","FootballFan"
"mjohnson","F00tb@llF@n!Aud1t2K24"
"lena.muller@yahoo.com","SkiAlpine"
"lmuller","Sk1@lp1ne!W3@lthM@n@ger"
"carlos.silva@outlook.com","SambaKing"
"csilva","S@mb@K1ng!M0rtg@geAdv"
"chika.okoro@gmail.com","AfricanQueen"
"cokoro","@fr1c@nQu33n!Fr@udInv"
"oliver.smith@hotmail.com","BigDataNerd"
"osmith","B1gD@t@Nerd!D@t@Sc13ntist"
"yuki.sato@yahoo.com","CherryBlossom"
"ysato","Ch3rryBl0ss0m!HRB@nk24"
"priya.singh@gmail.com","BollywoodDreams"
"psingh","B0llyw00dDr3@ms!M@rk3tB@nk"
"javier.garcia@outlook.com","SiestaTime"
"jgarcia","S13st@T1m3!R3g@ff@irs"
"minjun.kim@hotmail.com","KPopLover"
"mjkim","KP0pL0v3r!Tr3@suryAn@lyst"
"elena.petrova@gmail.com","WinterIsComing"
"epetrova","W1nt3r1sC0m1ng!0psM@n@g3r"
"daniel.lee@yahoo.com","ExcelMaster"
"dlee","3xc3lM@st3r!Acc0unt!ng24"
"samira.ahmed@outlook.com","SecureFuture"
"sahmed","S3cur3Fvtur3!Cyb3rS3c@n@lyst"
"marco.bianchi@hotmail.com","StockMarket"
"mbianchi","St0ckM@rk3t!P0rtf0l1oM@n"
"chen.wei@gmail.com","DragonSpirit"
"cwei","Dr@g0nSp1r1t!Cr3d1tAn@lyst"
"sarah.miller@yahoo.com","MapleLeafs"
"smiller","M@pl3L3@fs!Pr0ductM@n@g3r"
"thabo.ndlovu@outlook.com","LionKing"
"tndlovu","L10nK1ng!L3g@lC0uns3lB@nk"
"dmillertech@outlook.com","pcgamer99"
"DMillerIT","PCGamer99$Support!HQ"
"sofia.rod@yahoo.com","mydogmax"
"SRodMA","MyDogMax@Clinic#23"
"tanaka.kenji@protonmail.com","sushifanatic"
"KTanakaLab","SushiFanatic!Lab@2024"
"fzahra.rx@hotmail.com","morocco1988"
"FZahraPharm","Morocco1988#RxCare!"
"liam.o.connell@gmail.com","gaelicpride"
"LOConnellAdmin","GaelicPride!HospMgr@"
"chloe.dubois@outlook.com","parisjetaime"
"CDuboisRad","ParisJetaime!Xray$24"
"mateo.garcia.md@gmail.com","scalpelpro"
"MGarciaSurg","ScalpelPro!Surgery#MD"
"isabella.pt@yahoo.com","runnergirl"
"IRossiPT","RunnerGirl!Therapy$2024"
"ethan.kim.coder@gmail.com","codingwiz"
"EKimCode","CodingWiz!Medical#Billing"
"olivia.counsel@protonmail.com","mindfulmoments"
